IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
142	,	BtnTitleAlarmText	,	CFormAlarm	,	발생 이유	,	OCCURRED REASON	,	OCCURRED REASON	,	Lý do phát sinh
143	,	BtnTitleAlarmDescription	,	CFormAlarm	,	해결책	,	SOLUTION	,	SOLUTION	,	Phương pháp xử lý
144	,	BtnAlarmReset	,	CFormAlarm	,	알람 초기화	,	ALARM RESET	,	ALARM RESET	,	Khởi tạo ALARM
145	,	BtnAlarmAllReset	,	CFormAlarm	,	알람 전체 초기화	,	ALARM ALL RESET	,	ALARM ALL RESET	,	Khởi tạo lại toàn bộ ALARM
146	,	BtnBuzzerOff	,	CFormAlarm	,	버저 끔	,	BUZZER OFF	,	BUZZER OFF	,	BUZZER OFF
147	,	BtnAlarmImage	,	CFormAlarm	,	위치 보기	,	VIEW LOCATION	,	VIEW LOCATION	,	VIEW LOCATION
148	,	BtnAlarmSop	,	CFormAlarm	,	SOP 보기	,	VIEW SOP	,	VIEW SOP	,	VIEW SOP
149	,	BtnConfigMenu[0]	,	CFormConfig	,	설정	,	OPTION	,	OPTION	,	Cài đặt
150	,	BtnConfigMenu[1]	,	CFormConfig	,	레시피	,	RECIPE	,	RECIPE	,	RECIPE
151	,	BtnConfigMenu[2]	,	CFormConfig	,	오프셋	,	OFFSET	,	OFFSET	,	OFFSET
152	,	BtnConfigMenu[3]	,	CFormConfig	,	대기 시간	,	WAIT TIME	,	WAIT TIME	,	WAIT TIME
153	,	BtnConfigMenu[4]	,	CFormConfig	,	시그널 타워	,	SIGNAL TOWER	,	SIGNAL TOWER	,	SIGNAL TOWER
154	,	BtnConfigMenu[5]	,	CFormConfig	,	MCC 로그 설정	,	MCC LOG SETTING	,	MCC LOG SETTING	,	MCC LOG SETTING
155	,	BtnTitleMCCLogView	,	CFormConfigMCCLog	,	MCC 로그 설정	,	MCC LOG SETTING	,	MCC LOG SETTING	,	MCC LOG SETTING
